#	instance	lang	mech	own B/T/S	label	fence	cov%	cls%	why	runner-up
1	phpoffice__phpspreadsheet-4186	PHP	I	78/21/1	B	41	100	96	cell PHP×B (n=1, median fence 41)	-
2	redis__redis-10068	C	B	54/46/0	M	38	100	97	cell C×M (n=1, median fence 38)	-
3	gin-gonic__gin-1957	Go	A	48/51/1	M	25	98	92	cell Go×M (n=3, median fence 25)	gin-gonic-X3741
4	sharkdp__bat-3108	Rust	A	46/54/0	M	251	99	98	cell Rust×M (n=4, median fence 190)	sharkdp-t562
5	valkey-io__valkey-790	C	B	30/70/0	T	149	100	98	cell C×T (n=6, median fence 31)	valkey-io-t1842
6	vuejs__core-11870	TypeScript	N	0/100/0	T	138	99	98	cell TypeScript×T (n=11, median fence 138)	vuejs-t11899
7	fmtlib__fmt-3863	C++	B	98/2/0	B	193	100	98	cell C++×B (n=12, median fence 190)	fmtlib-t3901
8	jqlang__jq-2598	C	B	88/10/2	B	54	98	94	cell C×B (n=12, median fence 52)	jqlang-X2681
9	caddyserver__caddy-4774	Go	A	72/28/0	B	192	98	97	cell Go×B (n=14, median fence 199)	prometheus-t10720
10	tokio-rs__axum-682	Rust	A	69/31/0	B	134	100	98	cell Rust×B (n=16, median fence 261)	uutils-t6682
11	gohugoio__hugo-12204	Go	A	15/83/1	T	116	98	84	cell Go×T (n=17, median fence 116)	gohugoio-t12562
12	php-cs-fixer__php-cs-fixer-7875	PHP	I	6/94/0	T	45	98	94	cell PHP×T (n=18, median fence 46)	php-cs-fixer-t8331
13	burntsushi__ripgrep-2576	Rust	A	39/61/0	T	173	99	97	cell Rust×T (n=22, median fence 184)	uutils-t6575
14	preactjs__preact-3010	JavaScript	N	5/94/0	T	64	91	88	cell JavaScript×T (n=25, median fence 64)	preactjs-t3562
15	faker-ruby__faker-2705	Ruby	I	0/100/0	T	30	101	97	cell Ruby×T (n=31, median fence 30)	fastlane-t20642
16	google__gson-2061	Java	J	1/99/0	T	202	100	99	cell Java×T (n=32, median fence 206)	projectlombok-t3479
17	nlohmann__json-4237	C++	B	60/40/0	B	624	100	100	2nd repo for C++	-
18	projectlombok__lombok-3052	Java	J	2/97/0	T	355	100	99	2nd repo for Java	apache-t16875
19	axios__axios-6539	JavaScript	N	2/97/1	T	19	100	89	2nd repo for JavaScript	mrdoob-t26589
20	fastlane__fastlane-20642	Ruby	I	0/100/0	T	28	100	94	2nd repo for Ruby	fluent-t3466
21	facebook__docusaurus-9897	TypeScript	N	0/99/1	T	33	84	79	2nd repo for TypeScript	facebook-t10130
22	redis__redis-11631	C	B	85/15/0	B	422	99	99	magnitude max for C	-
23	gohugoio__hugo-12171	Go	A	9/91/0	T	736	93	92	magnitude max for Go	-
24	apache__druid-15402	Java	J	0/100/0	T	3999	99	99	magnitude max for Java	-
25	babel__babel-13928	JavaScript	N	1/99/0	T	402	100	98	magnitude max for JavaScript	-
26	briannesbitt__carbon-3103	PHP	I	0/100/0	T	169	100	98	magnitude max for PHP	-
27	jekyll__jekyll-8761	Ruby	I	1/99/0	T	340	100	99	magnitude max for Ruby	-
28	nushell__nushell-12901	Rust	A	37/54/9	T	1045	99	99	magnitude max for Rust	-
29	immutable-js__immutable-js-2005	TypeScript	N	0/100/0	T	718	91	90	magnitude max for TypeScript	-
30	micropython__micropython-13039	C	B	71/29/0	B	17	99	91	magnitude min for C	-

30 picks; cells covered: 16; repos: 28; languages: 9
